,Date,Region,Depth,Magnitude,Deaths,Total damage
0,01/01/2024,Honshu (Ishikawa),10 km,7.5,240,
1,10/08/2023,Izu Islands,10 km,4.9,0,
2,10/05/2023,Izu Islands,10 km,6.1,0,
3,05/05/2023,"Honshu (Ishikawa, Toyama)",8 km,6.2,1,
4,03/16/2022,Off Fukushima,63 km,7.3,4,
5,03/20/2021,Honshu Island,43 km,7.0,0,
6,02/13/2021,Off Fukushima,49 km,7.1,1,
7,06/18/2019,Niigata Prefecture,12 km,6.4,0,
8,09/05/2018,Hokkaido,35 km,6.6,44,
9,06/17/2018,Osaka,10 km,5.5,5,
10,05/06/2018,Honshu (S. Of),10 km,5.4,0,
11,04/08/2018,Shimane Prefecture,10 km,5.7,0,
12,11/21/2016,Near E Coast Honshu,27 km,6.9,0,
13,10/21/2016,Kurayoshi,39 km,6.2,0,
14,08/20/2016,Off East Coast Honshu,26 km,6.0,0,
15,04/15/2016,"Kumamoto, Oita",22 km,7.0,50,
16,11/13/2015,Kyusyu Island,3 km,6.7,0,
17,05/30/2015,Bonin Islands [chichijima Island],11 km,7.8,0,
18,05/02/2015,Honshu (S. Of),39 km,5.7,0,
19,02/16/2015,Honshu,27 km,6.7,0,
20,11/22/2014,"Nagano (Hakuba, Otari)",42 km,6.2,0,
21,07/11/2014,Sanriku,22 km,6.5,0,
22,03/13/2014,Southwestern,17 km,6.3,0,
23,10/25/2013,Honshu (E Coast),,7.1,0,
24,04/17/2013,Miyakejima,33 km,5.8,0,
25,04/12/2013,Japan,17 km,5.8,0,
26,12/07/2012,Honshu (Miyagi Prefecture),23 km,7.2,0,
27,03/14/2012,Hokkaido,35 km,6.9,0,
28,07/10/2011,Honshu (E Coast),10 km,7.0,0,
29,04/11/2011,Honshu,12 km,6.6,7,
30,04/07/2011,Near E Coast Honshu,43 km,7.1,3,
31,03/11/2011,Honshu,24 km,9.1,1475,
32,03/11/2011,Near E Coast Honshu,40 km,7.9,0,
33,03/11/2011,Off East Coast Honshu,50 km,7.6,0,
34,03/09/2011,Honshu (E Coast),20 km,7.5,0,
35,12/21/2010,Bonin Islands,40 km,7.4,0,
36,02/26/2010,"Tori Shima, Okinawa",26 km,7.0,0,
